
The table is organized as such:
| Policy Name |
| Starting Track |
| Next track | Tracks Moved |
| ... |
| Average Seek Length |
| Average Seek Time |
--------------------------------------------------------------------------------------
|  FIFO  |  LIFO  |  SSTF  |  SCAN  |    C-SCAN    |      N-STEP-SCAN      |  FSCAN  |
--------------------------------------------------------------------------------------
|   200  |   200  |   200  |   200  |       200    |              200      |    200  |
--------------------------------------------------------------------------------------
| 115|  4|  94| 42|  33|  1| 180|  0|   180 |     0|       115 |          4| 120|   3|
| 111|  4|  97|  3|  33|  0| 180|  0|   180 |     0|       114 |          1| 124|   4|
| 104|  7| 106|  9|  33|  0| 180|  0|   180 |     0|       111 |          3| 124|   0|
| 114| 10| 109|  3|  33|  0| 180|  0|   180 |     0|       104 |          7| 129|   5|
| 117|  3| 106|  3|  33|  0| 180|  0|   180 |     0|       117 |         13| 131|   2|
| 120|  3| 107|  1|  34|  1| 179|  1|   179 |     1|       120 |          3| 109|  22|
| 124|  4| 120| 13|  34|  0| 179|  0|   179 |     0|       124 |          4| 111|   2|
| 124|  0| 123|  3|  34|  0| 179|  0|   179 |     0|       124 |          0| 120|   9|
| 109| 15| 144| 21|  34|  0| 179|  0|   179 |     0|       129 |          5| 123|   3|
| 131| 22| 145|  1|  35|  1| 179|  0|   179 |     0|       131 |          2| 132|   9|
| 129|  2| 135| 10|  35|  0| 178|  1|   178 |     1|       109 |         22| 133|   1|
| 120|  9| 158| 23|  35|  0| 178|  0|   178 |     0|       111 |          2|  95|  38|
| 133| 13| 171| 13|  35|  0| 178|  0|   178 |     0|       120 |          9|  92|   3|
| 132|  1| 182| 11|  35|  0| 177|  1|   177 |     1|       123 |          3|  91|   1|
| 123|  9| 178|  4|  35|  0| 177|  0|   177 |     0|       132 |          9|  86|   5|
| 111| 12| 175|  3|  35|  0| 177|  0|   177 |     0|       133 |          1|  75|  11|
|  92| 19| 162| 13|  35|  0| 177|  0|   177 |     0|        95 |         38|  89|  14|
|  95|  3| 162|  0|  36|  1| 176|  1|   176 |     1|        92 |          3|  90|   1|
|  75| 20| 165|  3|  36|  0| 176|  0|   176 |     0|        91 |          1| 102|  12|
|  86| 11| 171|  6|  36|  0| 176|  0|   176 |     0|        86 |          5|  46|  56|
|  91|  5| 169|  2|  36|  0| 176|  0|   176 |     0|        75 |         11|  38|   8|
| 102| 11| 168|  1|  36|  0| 176|  0|   176 |     0|        89 |         14|  36|   2|
|  89| 13| 168|  0|  36|  0| 175|  1|   175 |     1|        90 |          1|  36|   0|
|  90|  1| 180| 12|  37|  1| 175|  0|   175 |     0|       102 |         12|  36|   0|
|  46| 44| 180|  0|  37|  0| 175|  0|   175 |     0|        46 |         56|  33|   3|
|  38|  8|  12| 32|  37|  0| 175|  0|   175 |     0|        38 |          8|  29|   4|
|  36|  2|  10|  2|  37|  0| 175|  0|   175 |     0|        36 |          2|  36|   7|
|  36|  0|   3|  7|  37|  0| 175|  0|   175 |     0|        36 |          0|  41|   5|
|  36|  0| 176| 27|  38|  1| 175|  0|   175 |     0|        36 |          0|  44|   3|
|  33|  3| 155| 21|  38|  0| 175|  0|   175 |     0|        33 |          3|  72|  28|
|  29|  4| 141| 14|  38|  0| 175|  0|   175 |     0|        29 |          4| 121|  49|
|  44| 15| 139|  2|  38|  0| 175|  0|   175 |     0|        36 |          7| 125|   4|
|  41|  3| 141|  2|  38|  0| 175|  0|   175 |     0|        41 |          5| 144|  19|
|  36|  5| 188| 47|  38|  0| 174|  1|   174 |     1|        44 |          3| 151|   7|
|  72| 36| 187|  1|  38|  0| 174|  0|   174 |     0|        72 |         28| 152|   1|
| 121| 49| 198| 11|  38|  0| 174|  0|   174 |     0|       121 |         49| 153|   1|
| 125|  4|   8| 10|  38|  0| 174|  0|   174 |     0|       125 |          4| 139|  14|
| 151| 26| 194| 14|  39|  1| 174|  0|   174 |     0|       144 |         19| 136|   3|
| 153|  2|   1|  7|  39|  0| 174|  0|   174 |     0|       151 |          7| 130|   6|
| 152|  1| 113| 88|  40|  1| 173|  1|   173 |     1|       152 |          1| 123|   7|
| 144|  8| 114|  1|  40|  0| 173|  0|   173 |     0|       153 |          1| 112|  11|
| 123| 21|  89| 25|  40|  0| 173|  0|   173 |     0|       139 |         14| 110|   2|
| 130|  7|  88|  1|  40|  0| 173|  0|   173 |     0|       136 |          3| 110|   0|
| 139|  9|  69| 19|  40|  0| 173|  0|   173 |     0|       130 |          6| 106|   4|
| 136|  3|  76|  7|  40|  0| 172|  1|   172 |     1|       123 |          7| 101|   5|
| 112| 24|  73|  3|  40|  0| 172|  0|   172 |     0|       112 |         11|  97|   4|
| 110|  2|  78|  5|  40|  0| 172|  0|   172 |     0|       110 |          2|  97|   0|
|  97| 13|  78|  0|  41|  1| 172|  0|   172 |     0|       110 |          0| 104|   7|
| 106|  9|  98| 20|  41|  0| 172|  0|   172 |     0|       106 |          4|  95|   9|
| 110|  4| 102|  4|  41|  0| 172|  0|   172 |     0|       101 |          5|  89|   6|
| 101|  9| 110|  8|  41|  0| 171|  1|   171 |     1|        97 |          4|  89|   0|
| 104|  3| 102|  8|  41|  0| 171|  0|   171 |     0|        97 |          0|  88|   1|
|  95|  9| 105|  3|  41|  0| 171|  0|   171 |     0|       104 |          7|  76|  12|
|  97|  2|  91| 14|  41|  0| 171|  0|   171 |     0|        95 |          9|  90|  14|
|  89|  8|  83|  8|  41|  0| 171|  0|   171 |     0|        89 |          6|  94|   4|
|  89|  0| 119| 36|  41|  0| 171|  0|   171 |     0|        89 |          0|  97|   3|
